run_id,retriever,chunking_strategy,query_id,bucket,num_judged_relevant,query_token_len__all-MiniLM-L6-v2,max_relevant_doc_token_len__all-MiniLM-L6-v2,any_relevant_doc_exceeds_limit__all-MiniLM-L6-v2,query_token_len__bge-small-en-v1_5,max_relevant_doc_token_len__bge-small-en-v1_5,any_relevant_doc_exceeds_limit__bge-small-en-v1_5
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1,mis_ranked,1,15,149,within,15,149,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,100,mis_ranked,1,17,385,exceeds,17,385,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1012,full_success,1,21,461,exceeds,21,461,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1014,full_success,1,19,210,within,19,210,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1019,mis_ranked,1,17,421,exceeds,17,421,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1020,full_success,1,32,267,exceeds,32,267,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1021,full_success,1,32,267,exceeds,32,267,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1024,mis_ranked,1,20,224,within,20,224,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1029,full_success,3,33,369,exceeds,33,369,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1041,mis_ranked,2,33,353,exceeds,33,353,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1049,total_miss,1,18,239,within,18,239,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1062,full_success,1,25,389,exceeds,25,389,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1086,full_success,1,30,491,exceeds,30,491,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1088,mis_ranked,1,19,204,within,19,204,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1089,full_success,1,30,371,exceeds,30,371,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1099,mis_ranked,1,10,166,within,10,166,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1100,mis_ranked,1,10,166,within,10,166,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1104,full_success,1,35,904,exceeds,35,904,exceeds
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1107,mis_ranked,1,16,181,within,16,181,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1110,total_miss,1,14,1021,exceeds,14,1021,exceeds
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1121,mis_ranked,1,26,403,exceeds,26,403,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,113,full_success,1,22,468,exceeds,22,468,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1130,full_success,1,31,247,within,31,247,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1132,mis_ranked,2,28,275,exceeds,28,275,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1137,mis_ranked,1,18,463,exceeds,18,463,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1140,mis_ranked,1,20,653,exceeds,20,653,exceeds
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1144,full_success,1,23,531,exceeds,23,531,exceeds
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1146,full_success,1,15,454,exceeds,15,454,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,115,full_success,1,16,318,exceeds,16,318,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1150,mis_ranked,1,25,238,within,25,238,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1163,full_success,1,20,244,within,20,244,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1175,total_miss,1,16,216,within,16,216,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1179,total_miss,1,20,216,within,20,216,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,118,mis_ranked,1,23,257,exceeds,23,257,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1180,total_miss,1,16,216,within,16,216,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1185,full_success,1,36,485,exceeds,36,485,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1187,full_success,1,36,349,exceeds,36,349,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1191,mis_ranked,1,14,159,within,14,159,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1194,mis_ranked,1,32,264,exceeds,32,264,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1196,mis_ranked,1,16,244,within,16,244,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1197,mis_ranked,1,17,244,within,17,244,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1199,total_miss,1,26,637,exceeds,26,637,exceeds
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1200,total_miss,1,42,274,exceeds,42,274,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1202,full_success,1,22,261,exceeds,22,261,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1204,full_success,1,32,321,exceeds,32,321,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1207,full_success,1,38,297,exceeds,38,297,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1213,mis_ranked,1,21,599,exceeds,21,599,exceeds
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1216,full_success,1,20,262,exceeds,20,262,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1221,mis_ranked,1,24,296,exceeds,24,296,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1225,mis_ranked,1,19,287,exceeds,19,287,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1226,total_miss,1,23,315,exceeds,23,315,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1232,full_success,1,25,255,within,25,255,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,124,full_success,1,21,524,exceeds,21,524,exceeds
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1241,full_success,1,20,416,exceeds,20,416,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1245,mis_ranked,1,15,324,exceeds,15,324,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1259,mis_ranked,1,35,708,exceeds,35,708,exceeds
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1262,full_success,1,20,217,within,20,217,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1266,full_success,1,35,511,exceeds,35,511,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,127,full_success,1,20,292,exceeds,20,292,within
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1270,full_success,1,18,576,exceeds,18,576,exceeds
