query_id,claim_index,claim_text,hand_label
1280,0,The ureABIEFGH gene cluster is required for the formation of UreD-urease complexes.,
230,0,The aldehyde dehydrogenase deficiency mutation may be a surrogate for measuring alcohol consumption and may be an important risk factor for hypertension.,
957,0,Molecular mechanisms of podocyte morphology and their regulation of the expression of podocalyxin.,
1344,0,aging process by inhibiting tumor growth and apoptosis.,
491,0,mutation carriers,
1292,0,HNF4A gene mutations.,
1320,0,Transplantation of human glial progenitor cells into lineage-specific stem/progenitores of another germ layer may be a viable way to convert somatic cells into iPSCs.,
439,0,Wnt5a functions in planar cell polarity regulation in mice,
1088,0,DNA damage and error-prone repair in myeloid leukemia.,
823,0,N348I mutation in the RT connection domain in clinical isolates.,
54,0,AMPK activation inhibits Janus kinase 1 signaling and suppresses inflammation-related fibrosis in the lungs.,
692,0,Leuko-increased blood is a risk factor for the development of sporadic CJD.,
1368,0,Vitamin D deficiency affecting the term of delivery.,
132,0,Aspirin inhibits the production of prostaglandin E2 by inhibiting the expression of 15-hydroxyprostaglin dehydrogenase.,
1175,0,cathelicidins and proBac7.,
552,0,IgA autoantibodies to transglutaminase 2 are markedly expanded within the duodenal mucosa in individuals with active celiac disease.,
598,0,Primary HPV DNA screening with cytology triage was more sensitive than conventional cytological screening.,
808,0,The lysosomal cysteine proteases cathepsins B and L are involved in the degradation of beta-amyloid precursor proteins.,
1370,0,infant,
1273,0,CHD4 is a RanGTP-dependent microtubule-associated protein that stabilizes microtubulars and regulates spindle assembly.,
783,0,CD11b+ monocytes abrogate Th17 CD4+ T cell-mediated experimental autoimmune myocarditis.,
1086,0,Sildenafil improves erectile function in men with sexual dysfunction associated with the use of selective and nonselective serotonin reuptake inhibitor antidepressants.,
728,0,Ly6c(hi) monocytes have a lower inflammatory capacity than Ly6C(lo) moncells.,
1089,0,Smc5/6 engagment drives the activation of the Mms21 SUMO ligase MmS21 by ATP-dependent remolding.,
1272,0,"Using flash photolysis, we demonstrated that glutamate release is dependent on the levels of calcium in astrocytes.",
1278,0,Aliskiren and losartan in type 2 diabetes and nephropathy.,
743,0,Previous use of antibiotics decreases the risk of developing a first-time acute myocardial infarction.,
967,0,The role of the N-WASP–Arp2/3 complex pathway and cofilin in invadopodium formation in metastatic carcinoma cells.,
233,0,X-Y genes are expressed in brain in a sex-specific manner.,
312,0,De novo assembly of sequence data has more specific contigs than unassembled sequence data.,
