run_id,bucket,count,fraction
all-MiniLM-L6-v2__fixed_window,total_miss,41,0.136667
all-MiniLM-L6-v2__fixed_window,mis_ranked,97,0.323333
all-MiniLM-L6-v2__fixed_window,partial_recall,1,0.003333
all-MiniLM-L6-v2__fixed_window,full_success,161,0.536667
all-MiniLM-L6-v2__sentence_window,total_miss,40,0.133333
all-MiniLM-L6-v2__sentence_window,mis_ranked,102,0.340000
all-MiniLM-L6-v2__sentence_window,partial_recall,0,0.000000
all-MiniLM-L6-v2__sentence_window,full_success,158,0.526667
all-MiniLM-L6-v2__whole_document,total_miss,46,0.153333
all-MiniLM-L6-v2__whole_document,mis_ranked,103,0.343333
all-MiniLM-L6-v2__whole_document,partial_recall,1,0.003333
all-MiniLM-L6-v2__whole_document,full_success,150,0.500000
bge-small-en-v1.5__fixed_window,total_miss,34,0.113333
bge-small-en-v1.5__fixed_window,mis_ranked,88,0.293333
bge-small-en-v1.5__fixed_window,partial_recall,0,0.000000
bge-small-en-v1.5__fixed_window,full_success,178,0.593333
bge-small-en-v1.5__sentence_window,total_miss,35,0.116667
bge-small-en-v1.5__sentence_window,mis_ranked,88,0.293333
bge-small-en-v1.5__sentence_window,partial_recall,1,0.003333
bge-small-en-v1.5__sentence_window,full_success,176,0.586667
bge-small-en-v1.5__whole_document,total_miss,36,0.120000
bge-small-en-v1.5__whole_document,mis_ranked,83,0.276667
bge-small-en-v1.5__whole_document,partial_recall,0,0.000000
bge-small-en-v1.5__whole_document,full_success,181,0.603333
bm25__fixed_window,total_miss,49,0.163333
bm25__fixed_window,mis_ranked,98,0.326667
bm25__fixed_window,partial_recall,4,0.013333
bm25__fixed_window,full_success,149,0.496667
bm25__sentence_window,total_miss,52,0.173333
bm25__sentence_window,mis_ranked,105,0.350000
bm25__sentence_window,partial_recall,3,0.010000
bm25__sentence_window,full_success,140,0.466667
bm25__whole_document,total_miss,45,0.150000
bm25__whole_document,mis_ranked,98,0.326667
bm25__whole_document,partial_recall,4,0.013333
bm25__whole_document,full_success,153,0.510000
all-MiniLM-L6-v2__whole_document|vs|all-MiniLM-L6-v2__fixed_window,a_only,2,0.006667
all-MiniLM-L6-v2__whole_document|vs|all-MiniLM-L6-v2__fixed_window,b_only,14,0.046667
all-MiniLM-L6-v2__whole_document|vs|all-MiniLM-L6-v2__fixed_window,both_miss,48,0.160000
all-MiniLM-L6-v2__whole_document|vs|all-MiniLM-L6-v2__fixed_window,both_answer,236,0.786667
all-MiniLM-L6-v2__whole_document|vs|all-MiniLM-L6-v2__sentence_window,a_only,8,0.026667
all-MiniLM-L6-v2__whole_document|vs|all-MiniLM-L6-v2__sentence_window,b_only,13,0.043333
all-MiniLM-L6-v2__whole_document|vs|all-MiniLM-L6-v2__sentence_window,both_miss,49,0.163333
all-MiniLM-L6-v2__whole_document|vs|all-MiniLM-L6-v2__sentence_window,both_answer,230,0.766667
bge-small-en-v1.5__whole_document|vs|bge-small-en-v1.5__fixed_window,a_only,4,0.013333
bge-small-en-v1.5__whole_document|vs|bge-small-en-v1.5__fixed_window,b_only,1,0.003333
bge-small-en-v1.5__whole_document|vs|bge-small-en-v1.5__fixed_window,both_miss,42,0.140000
bge-small-en-v1.5__whole_document|vs|bge-small-en-v1.5__fixed_window,both_answer,253,0.843333
bge-small-en-v1.5__whole_document|vs|bge-small-en-v1.5__sentence_window,a_only,7,0.023333
bge-small-en-v1.5__whole_document|vs|bge-small-en-v1.5__sentence_window,b_only,7,0.023333
bge-small-en-v1.5__whole_document|vs|bge-small-en-v1.5__sentence_window,both_miss,36,0.120000
bge-small-en-v1.5__whole_document|vs|bge-small-en-v1.5__sentence_window,both_answer,250,0.833333
bm25__whole_document|vs|all-MiniLM-L6-v2__fixed_window,a_only,17,0.056667
bm25__whole_document|vs|all-MiniLM-L6-v2__fixed_window,b_only,28,0.093333
bm25__whole_document|vs|all-MiniLM-L6-v2__fixed_window,both_miss,33,0.110000
bm25__whole_document|vs|all-MiniLM-L6-v2__fixed_window,both_answer,222,0.740000
bm25__whole_document|vs|all-MiniLM-L6-v2__sentence_window,a_only,21,0.070000
bm25__whole_document|vs|all-MiniLM-L6-v2__sentence_window,b_only,25,0.083333
bm25__whole_document|vs|all-MiniLM-L6-v2__sentence_window,both_miss,36,0.120000
bm25__whole_document|vs|all-MiniLM-L6-v2__sentence_window,both_answer,218,0.726667
