query_id,claim_index,claim_text,is_declarative_assertion
1086,0,"Sildenafil improves erectile function in men with sexual dysfunction associated with the use of selective and nonselective serotonin reuptake inhibitor antidepressants.",True
1088,0,"DNA damage and error-prone repair in myeloid leukemia.",False
1089,0,"Smc5/6 engagment drives the activation of the Mms21 SUMO ligase MmS21 by ATP-dependent remolding.",True
1175,0,"cathelicidins and proBac7.",False
1272,0,"Using flash photolysis, we demonstrated that glutamate release is dependent on the levels of calcium in astrocytes.",True
1273,0,"CHD4 is a RanGTP-dependent microtubule-associated protein that stabilizes microtubulars and regulates spindle assembly.",True
1278,0,"Aliskiren and losartan in type 2 diabetes and nephropathy.",False
1280,0,"The ureABIEFGH gene cluster is required for the formation of UreD-urease complexes.",True
1292,0,"HNF4A gene mutations.",False
132,0,"Aspirin inhibits the production of prostaglandin E2 by inhibiting the expression of 15-hydroxyprostaglin dehydrogenase.",True
1320,0,"Transplantation of human glial progenitor cells into lineage-specific stem/progenitores of another germ layer may be a viable way to convert somatic cells into iPSCs.",True
1344,0,"aging process by inhibiting tumor growth and apoptosis.",False
1368,0,"Vitamin D deficiency affecting the term of delivery.",False
1370,0,"infant",False
230,0,"The aldehyde dehydrogenase deficiency mutation may be a surrogate for measuring alcohol consumption and may be an important risk factor for hypertension.",True
233,0,"X-Y genes are expressed in brain in a sex-specific manner.",True
312,0,"De novo assembly of sequence data has more specific contigs than unassembled sequence data.",True
439,0,"Wnt5a functions in planar cell polarity regulation in mice",True
491,0,"mutation carriers",False
54,0,"AMPK activation inhibits Janus kinase 1 signaling and suppresses inflammation-related fibrosis in the lungs.",True
552,0,"IgA autoantibodies to transglutaminase 2 are markedly expanded within the duodenal mucosa in individuals with active celiac disease.",True
598,0,"Primary HPV DNA screening with cytology triage was more sensitive than conventional cytological screening.",True
692,0,"Leuko-increased blood is a risk factor for the development of sporadic CJD.",True
728,0,"Ly6c(hi) monocytes have a lower inflammatory capacity than Ly6C(lo) moncells.",True
743,0,"Previous use of antibiotics decreases the risk of developing a first-time acute myocardial infarction.",True
783,0,"CD11b+ monocytes abrogate Th17 CD4+ T cell-mediated experimental autoimmune myocarditis.",True
808,0,"The lysosomal cysteine proteases cathepsins B and L are involved in the degradation of beta-amyloid precursor proteins.",True
823,0,"N348I mutation in the RT connection domain in clinical isolates.",False
957,0,"Molecular mechanisms of podocyte morphology and their regulation of the expression of podocalyxin.",False
967,0,"The role of the N-WASP–Arp2/3 complex pathway and cofilin in invadopodium formation in metastatic carcinoma cells.",False
